groupe_num,referentialCode,economicRole,processName,article,band,criticalityDivergent,exactDuplicates,questionCount,questions_keys,questions_texts
56,ISO14971,fabricant,Résidu de risque individuel,,mid,false,oui,3,Q-14971-RRI-6312 | Q-14971-RRI-0054 | Q-14971-RRI-8371,"Choisissons un danger réel concerné par évaluation des risques résiduels après maîtrise : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu. || Montrez-moi comment évaluation des risques résiduels après maîtrise relie votre analyse de risques à une décision concrète sur le produit. || Choisissons un danger réel concerné par évaluation des risques résiduels après maîtrise : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu."
57,ISO14971,fabricant,Analyse bénéfice-risque,,low,false,non,3,Q-14971-ABR-2180 | Q-14971-ABR-5814 | Q-14971-ABR-6111,"Prenez un risque qui reste trop élevé après les mesures mises en place. Montrez pourquoi il ne pouvait pas être réduit davantage et comment vous avez comparé ce risque aux bénéfices attendus du dispositif. || Qui a décidé que les bénéfices du dispositif justifiaient le risque restant ? Montrez les données utilisées, la justification et l'approbation de cette décision. || Sur un cas concret, montrez ce qui a été décidé lorsqu'un risque restait trop élevé et qu'aucune mesure supplémentaire n'était possible."
58,ISO14971,fabricant,Risques issus des contrôles,,low,false,non,3,Q-14971-RIC-1049 | Q-14971-RIC-0752 | Q-14971-RIC-7118,Prenez une mesure mise en place pour réduire un risque. A-t-elle créé un nouveau risque ou modifié un risque déjà connu ? Montrez comment vous l'avez vérifié et traité. || Montrez-moi comment évaluation des nouveaux risques introduits par les mesures de maîtrise relie votre analyse de risques à une décision concrète sur le produit. || Comment vérifiez-vous que les mesures prises pour réduire un risque n'en créent pas un autre ? Montrez-moi un exemple réel.
59,ISO14971,fabricant,Risque résiduel global,,mid,false,non,3,Q-14971-RRG-7446 | Q-14971-RRG-3812 | Q-14971-RRG-3515,"Avant la mise sur le marché, comment avez-vous vérifié que le risque résiduel global du dispositif était acceptable ? Montrez le résultat de cette évaluation. || Montrez-moi comment évaluation de l’acceptabilité du risque résiduel global relie votre analyse de risques à une décision concrète sur le produit. || Qui a approuvé l’acceptabilité du risque résiduel global du dispositif ? Montrez les données utilisées et la décision prise."
60,ISO14971,fabricant,Revue gestion des risques,,mid,false,non,3,Q-14971-RGR-9160 | Q-14971-RGR-5334 | Q-14971-RGR-3091,"Pour le dernier dispositif libéré, montrez la revue des risques réalisée avant sa libération et la conclusion obtenue. || Montrez-moi comment revue de gestion des risques avant libération commerciale relie votre analyse de risques à une décision concrète sur le produit. || Qui a autorisé la libération du dispositif après la revue des risques ? Montrez les preuves et l'approbation."
61,ISO9001,organisme,Non-conformité et action corrective,,low,false,non,2,Q-9001-NCAC-0474 | Q-9001-NCAC-0771,Prenez la dernière action corrective liée à traitement des non-conformités et actions correctives efficaces : déroulez-la du déclencheur jusqu'à la preuve d'efficacité vérifiée à distance. || Montrez-moi comment vous prouvez que l'action prise sur traitement des non-conformités et actions correctives efficaces a réellement empêché le problème de revenir.
62,ISO9001,organisme,Risques et opportunités,,low,false,non,3,Q-9001-RO-2538 | Q-9001-RO-8904 | Q-9001-RO-9521,Prenez un risque ou une opportunité pour votre système qualité. Qu'avez-vous décidé de faire et comment avez-vous vérifié que cela fonctionnait ? || Montrez-moi comment planification des risques et opportunités affectant le SMQ relie votre analyse de risques à une décision concrète sur le produit. || Comment les actions liées aux risques et aux opportunités sont-elles intégrées au travail quotidien ? Montrez-moi un exemple.
63,ISO9001,organisme,Conception et développement,,high,false,oui,3,Q-9001-CD-6572 | Q-9001-CD-4997 | Q-9001-CD-9497,"Ouvrons le dernier dossier de conception concerné par maîtrise de la conception, des revues, vérifications, validations et changements : montrez-moi la trace de bout en bout, entrées, revues, vérification, validation. || Prouvez-moi, sur un projet réel, que maîtrise de la conception, des revues, vérifications, validations et changements a été appliquée et vérifiée, pas seulement planifiée. || Ouvrons le dernier dossier de conception concerné par maîtrise de la conception, des revues, vérifications, validations et changements : montrez-moi la trace de bout en bout, entrées, revues, vérification, validation."
64,ISO9001,organisme,Prestataires externes,,low,true,non,2,Q-9001-PE-9284 | Q-9001-PE-8987,"Prenez un fournisseur critique : montrez-moi comment maîtrise des fournisseurs et processus externalisés est appliquée, de la sélection à la surveillance des performances. || Déroulez un cas d'achat récent et prouvez que maîtrise des fournisseurs et processus externalisés a été respectée avant utilisation du produit reçu."
65,ISO9001,organisme,Surveillance et mesure,,mid,false,non,2,Q-9001-SM-5761 | Q-9001-SM-9395,"Montrez-moi, sur un cas réel récent, comment détermination, analyse et évaluation des performances du SMQ est appliquée en pratique et où en est la preuve. || Déroulez un cas concret concerné par détermination, analyse et évaluation des performances du SMQ : quelle décision, par qui, sur quelle preuve, avec quel contrôle d'efficacité ?"
66,ISO9001,organisme,Audit interne,,high,false,oui,3,Q-9001-AI-9052 | Q-9001-AI-8755 | Q-9001-AI-5121,"Choisissons un danger réel concerné par programme d’audit interne planifié selon les risques et résultats : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu. || Montrez-moi comment programme d’audit interne planifié selon les risques et résultats relie votre analyse de risques à une décision concrète sur le produit. || Choisissons un danger réel concerné par programme d’audit interne planifié selon les risques et résultats : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu."
67,IVDR,fabricant IVD,GSPR IVD général,,high,false,oui,3,Q-IVDR-GIG-9779 | Q-IVDR-GIG-8646 | Q-IVDR-GIG-5848,"Choisissons un danger réel concerné par exigences générales sécurité/performance IVD démontrées et reliées aux risques : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu. || Montrez-moi comment exigences générales sécurité/performance IVD démontrées et reliées aux risques relie votre analyse de risques à une décision concrète sur le produit. || Choisissons un danger réel concerné par exigences générales sécurité/performance IVD démontrées et reliées aux risques : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu."
68,IVDR,fabricant IVD,GSPR performance/conception IVD,,high,false,oui,3,Q-IVDR-GPCI-0625 | Q-IVDR-GPCI-0922 | Q-IVDR-GPCI-4556,"Ouvrons le dernier dossier de conception concerné par exigences de performance analytique/clinique, stabilité, traçabilité métrologique et fabrication démontrées : montrez-moi la trace de bout en bout, entrées, revues, vérification, validation. || Prouvez-moi, sur un projet réel, que exigences de performance analytique/clinique, stabilité, traçabilité métrologique et fabrication démontrées a été appliquée et vérifiée, pas seulement planifiée. || Ouvrons le dernier dossier de conception concerné par exigences de performance analytique/clinique, stabilité, traçabilité métrologique et fabrication démontrées : montrez-moi la trace de bout en bout, entrées, revues, vérification, validation."
69,IVDR,fabricant IVD,GSPR information utilisateur IVD,,low,false,non,2,Q-IVDR-GIUI-6261 | Q-IVDR-GIUI-6930,"Prenez un DIV commercialisé. Montrez que son étiquette et sa notice sont lisibles, conformes et approuvées avant utilisation. || Déroulez un cas concret concerné par étiquetage et notice IVD conformes, lisibles et validés : quelle décision, par qui, sur quelle preuve, avec quel contrôle d'efficacité ?"
70,IVDR,fabricant IVD,Documentation PMS IVDR,,high,false,oui,3,Q-IVDR-DPI-6055 | Q-IVDR-DPI-2370 | Q-IVDR-DPI-0795,"Choisissons un document soumis à documentation PMS IVD structurée et reliée au dossier technique : montrez-moi sa version en vigueur, son approbation et le retrait des versions périmées. || Montrez-moi comment vous garantissez que documentation PMS IVD structurée et reliée au dossier technique est respectée sur un enregistrement récent. || Choisissons un document soumis à documentation PMS IVD structurée et reliée au dossier technique : montrez-moi sa version en vigueur, son approbation et le retrait des versions périmées."
71,IVDR,fabricant IVD,Évaluation conformité SMQ IVDR,,mid,false,non,2,Q-IVDR-ECSI-7691 | Q-IVDR-ECSI-7559,"Choisissons un document soumis à sMQ et documentation technique prêts pour évaluation ON : montrez-moi sa version en vigueur, son approbation et le retrait des versions périmées. || Montrez-moi comment vous garantissez que sMQ et documentation technique prêts pour évaluation ON est respectée sur un enregistrement récent."
72,IVDR,fabricant IVD,Performance studies IVDR,,mid,false,non,2,Q-IVDR-PSI-5186 | Q-IVDR-PSI-0064,"Choisissons un document soumis à dossier d’étude de performance et protection des sujets maîtrisés : montrez-moi sa version en vigueur, son approbation et le retrait des versions périmées. || Montrez-moi comment vous garantissez que dossier d’étude de performance et protection des sujets maîtrisés est respectée sur un enregistrement récent."
73,IVDR,fabricant IVD,Obligations fabricant IVD,Art. 10,low,false,non,3,Q-IVDR-OFI-2440 | Q-IVDR-OFI-0865 | Q-IVDR-OFI-4499,"Pour un DIV, la démonstration de conformité repose sur l'évaluation des performances à trois piliers (validité scientifique, performances analytiques, performances cliniques — article 56 et annexe XIII IVDR). Votre SMQ Art. 10 doit porter ce processus : montrez-moi, sur votre DIV de classe la plus élevée, comment le SMQ organise la production et la mise à jour de ces trois piliers — qui fait quoi, avec quel plan d'évaluation des performances, et comment le suivi des performances après commercialisation (PMPF) alimente le dossier en continu. || La classification IVDR (règles de l'annexe VIII, classes A à D) conditionne toute votre stratégie de conformité. Prenez votre portefeuille DIV : montrez-moi, pour trois produits, la justification documentée de classe règle par règle — en particulier tout produit classé A ou B dont l'usage prévu pourrait accrocher une règle supérieure (dépistage d'agents transmissibles, usage autodiagnostic, gestion de patients). Qui a validé ces classifications, et ont-elles été réinterrogées quand l'usage prévu ou les revendications ont évolué ? || Article 10 IVDR : quand un fabricant considère ou a des raisons de croire qu'un DIV mis sur le marché n'est pas conforme, il prend immédiatement les mesures correctives nécessaires. Pour un DIV, la non-conformité la plus insidieuse est la dérive de performances — un lot de réactif qui perd en sensibilité, une calibration qui glisse. Montrez-moi votre dispositif de détection : contrôles de lots en libération, suivi des contrôles qualité externes (EEQ) des laboratoires clients, signaux de résultats aberrants. Puis le dernier cas réel : détection, évaluation de l'impact sur les résultats DÉJÀ rendus aux patients, et actions vers les laboratoires."
74,IVDR,fabricant IVD,SMQ fabricant IVDR,Art. 10(8),high,false,oui,3,Q-IVDR-SFI-3580 | Q-IVDR-SFI-4845 | Q-IVDR-SFI-9649,"Prenez la dernière action corrective liée à sMQ couvrant stratégie réglementaire, GSPR, responsabilités, ressources, production, PMS, vigilance et CAPA : déroulez-la du déclencheur jusqu'à la preuve d'efficacité vérifiée à distance. || Montrez-moi comment vous prouvez que l'action prise sur sMQ couvrant stratégie réglementaire, GSPR, responsabilités, ressources, production, PMS, vigilance et CAPA a réellement empêché le problème de revenir. || Prenez la dernière action corrective liée à sMQ couvrant stratégie réglementaire, GSPR, responsabilités, ressources, production, PMS, vigilance et CAPA : déroulez-la du déclencheur jusqu'à la preuve d'efficacité vérifiée à distance."
75,IVDR,fabricant IVD,Distributeur IVDR,Art. 14,mid,false,non,2,Q-IVDR-DI-8225 | Q-IVDR-DI-0200,"Montrez-moi, sur un cas réel récent, comment vérifications distributeur, stockage/transport, réclamations et coopération autorités est appliquée en pratique et où en est la preuve. || Déroulez un cas concret concerné par vérifications distributeur, stockage/transport, réclamations et coopération autorités : quelle décision, par qui, sur quelle preuve, avec quel contrôle d'efficacité ?"
76,IVDR,fabricant IVD,PRRC IVDR,Art. 15,mid,true,non,2,Q-IVDR-PI-5092 | Q-IVDR-PI-6667,"Montrez-moi, sur un cas réel récent, comment personne responsable conformité réglementaire qualifiée et impliquée est appliquée en pratique et où en est la preuve. || Déroulez un cas concret concerné par personne responsable conformité réglementaire qualifiée et impliquée : quelle décision, par qui, sur quelle preuve, avec quel contrôle d'efficacité ?"
77,IVDR,fabricant IVD,Relabelling/repackaging IVDR,Art. 16,mid,false,non,2,Q-IVDR-RRI-8516 | Q-IVDR-RRI-4675,"Montrez-moi, sur un cas réel récent, comment reconditionnement/relabeling maîtrisé sans altérer la conformité IVD est appliquée en pratique et où en est la preuve. || Déroulez un cas concret concerné par reconditionnement/relabeling maîtrisé sans altérer la conformité IVD : quelle décision, par qui, sur quelle preuve, avec quel contrôle d'efficacité ?"
78,IVDR,fabricant IVD,Déclaration UE conformité IVDR,Art. 17,mid,true,non,2,Q-IVDR-DUCI-8719 | Q-IVDR-DUCI-5085,"Montrez-moi, sur un cas réel récent, comment déclaration UE de conformité IVD établie et tenue à jour est appliquée en pratique et où en est la preuve. || Déroulez un cas concret concerné par déclaration UE de conformité IVD établie et tenue à jour : quelle décision, par qui, sur quelle preuve, avec quel contrôle d'efficacité ?"
79,IVDR,fabricant IVD,Marquage CE IVDR,Art. 18,mid,false,non,2,Q-IVDR-MCI-9783 | Q-IVDR-MCI-4711,"Montrez-moi, sur un cas réel récent, comment marquage CE apposé après conformité démontrée est appliquée en pratique et où en est la preuve. || Déroulez un cas concret concerné par marquage CE apposé après conformité démontrée : quelle décision, par qui, sur quelle preuve, avec quel contrôle d'efficacité ?"
80,IVDR,fabricant IVD,UDI IVDR,Art. 24,low,true,non,2,Q-IVDR-UI-2489 | Q-IVDR-UI-8855,"Montrez-moi, sur un cas réel récent, comment uDI-DI/UDI-PI attribué, apposé et maintenu est appliquée en pratique et où en est la preuve. || Déroulez un cas concret concerné par uDI-DI/UDI-PI attribué, apposé et maintenu : quelle décision, par qui, sur quelle preuve, avec quel contrôle d'efficacité ?"
81,IVDR,fabricant IVD,Conformity assessment IVDR,Art. 48,mid,true,non,2,Q-IVDR-CAI-3208 | Q-IVDR-CAI-3158,"Montrez-moi, sur un cas réel récent, comment voie d’évaluation de conformité sélectionnée selon classe IVD est appliquée en pratique et où en est la preuve. || Déroulez un cas concret concerné par voie d’évaluation de conformité sélectionnée selon classe IVD : quelle décision, par qui, sur quelle preuve, avec quel contrôle d'efficacité ?"
82,IVDR,fabricant IVD,Performance evaluation,Art. 56,mid,false,non,3,Q-IVDR-PE-8439 | Q-IVDR-PE-1858 | Q-IVDR-PE-0283,"Montrez-moi, sur un cas réel récent, comment évaluation des performances fondée sur validité scientifique, performance analytique et clinique est appliquée en pratique et où en est la preuve. || Déroulez un cas concret concerné par évaluation des performances fondée sur validité scientifique, performance analytique et clinique : quelle décision, par qui, sur quelle preuve, avec quel contrôle d'efficacité ? || Prouvez-moi, sur un exemple de votre choix des trois derniers mois, que évaluation des performances fondée sur validité scientifique, performance analytique et clinique est réellement mise en œuvre et pas seulement documentée."
83,IVDR,fabricant IVD,Documentation performance,Art. 57,high,false,oui,3,Q-IVDR-DP-1061 | Q-IVDR-DP-1358 | Q-IVDR-DP-4992,"Choisissons un document soumis à documentation de performance evaluation et PMPF tenue à jour : montrez-moi sa version en vigueur, son approbation et le retrait des versions périmées. || Montrez-moi comment vous garantissez que documentation de performance evaluation et PMPF tenue à jour est respectée sur un enregistrement récent. || Choisissons un document soumis à documentation de performance evaluation et PMPF tenue à jour : montrez-moi sa version en vigueur, son approbation et le retrait des versions périmées."
84,IVDR,fabricant IVD,Études de performance,Art. 58-77,mid,false,non,2,Q-IVDR-EP-8616 | Q-IVDR-EP-0191,"Sortez le dernier cas concerné par études de performance planifiées, autorisées, conduites, surveillées et reportées et reconstituons la chronologie : date de connaissance, décision, date d'action. Le délai a-t-il été tenu ? || Montrez-moi, sur un cas daté, comment vous respectez études de performance planifiées, autorisées, conduites, surveillées et reportées et prouvez-le par les dates."
85,IVDR,fabricant IVD,PMS IVDR,Art. 78,low,false,non,3,Q-IVDR-PI-7357 | Q-IVDR-PI-0991 | Q-IVDR-PI-9416,"Votre système PMS IVD (article 78) doit collecter activement et exploiter. Pour un DIV, les sources actives spécifiques sont : les données de contrôle qualité externe (EEQ), les réclamations de discordance clinique, la littérature sur la validité scientifique de l'analyte, et les performances des tests concurrents. Montrez-moi, sur 12 mois, une entrée réelle de chacune de ces quatre sources dans votre PMS — et comment la plus significative a alimenté le PMPF ou déclenché une réévaluation des performances. || Déroulez un cas concret concerné par système de PMS IVD proportionné et intégré au SMQ : quelle décision, par qui, sur quelle preuve, avec quel contrôle d'efficacité ? || Prouvez-moi, sur un exemple de votre choix des trois derniers mois, que système de PMS IVD proportionné et intégré au SMQ est réellement mise en œuvre et pas seulement documentée."
86,IVDR,fabricant IVD,Plan PMS IVDR,Art. 79,high,false,oui,3,Q-IVDR-PPI-1977 | Q-IVDR-PPI-2274 | Q-IVDR-PPI-4092,"Prenez la dernière action corrective liée à plan PMS IVD documenté et relié aux risques, performance et CAPA : déroulez-la du déclencheur jusqu'à la preuve d'efficacité vérifiée à distance. || Montrez-moi comment vous prouvez que l'action prise sur plan PMS IVD documenté et relié aux risques, performance et CAPA a réellement empêché le problème de revenir. || Prenez la dernière action corrective liée à plan PMS IVD documenté et relié aux risques, performance et CAPA : déroulez-la du déclencheur jusqu'à la preuve d'efficacité vérifiée à distance."
87,IVDR,fabricant IVD,Rapport PMS IVDR,Art. 80,low,false,non,3,Q-IVDR-RPI-9799 | Q-IVDR-RPI-8626 | Q-IVDR-RPI-4565,"Pour vos DIV de classes A et B, l'article 80 exige un rapport PMS résumant résultats et conclusions des analyses, avec justification et description des actions prises, mis à jour si nécessaire et disponible pour l'autorité et l'ON impliqué. Montrez-moi ce rapport pour un produit B : les données EEQ et réclamations y figurent-elles avec de vraies analyses de tendances, vos critères de « si nécessaire » sont-ils définis, et — test immédiat — pouvez-vous me le produire séance tenante comme vous devriez le faire pour l'autorité ? || Déroulez un cas concret concerné par rapport PMS pour classes applicables établi et exploité : quelle décision, par qui, sur quelle preuve, avec quel contrôle d'efficacité ? || Prouvez-moi, sur un exemple de votre choix des trois derniers mois, que rapport PMS pour classes applicables établi et exploité est réellement mise en œuvre et pas seulement documentée."
88,IVDR,fabricant IVD,Vigilance IVDR,Art. 82,high,false,oui,3,Q-IVDR-VI-2557 | Q-IVDR-VI-8923 | Q-IVDR-VI-0498,"Sortez le dernier cas concerné par déclaration incidents graves et FSCA IVD dans les délais applicables et reconstituons la chronologie : date de connaissance, décision, date d'action. Le délai a-t-il été tenu ? || Montrez-moi, sur un cas daté, comment vous respectez déclaration incidents graves et FSCA IVD dans les délais applicables et prouvez-le par les dates. || Sortez le dernier cas concerné par déclaration incidents graves et FSCA IVD dans les délais applicables et reconstituons la chronologie : date de connaissance, décision, date d'action. Le délai a-t-il été tenu ?"
89,IVDR,fabricant IVD,Analyse incidents/FSCA IVDR,Art. 84,high,false,oui,3,Q-IVDR-AIFI-4529 | Q-IVDR-AIFI-1837 | Q-IVDR-AIFI-6588,"Sortez le dernier cas concerné par investigation, analyse causes et actions suite incident/FSCA et reconstituons la chronologie : date de connaissance, décision, date d'action. Le délai a-t-il été tenu ? || Montrez-moi, sur un cas daté, comment vous respectez investigation, analyse causes et actions suite incident/FSCA et prouvez-le par les dates. || Sortez le dernier cas concerné par investigation, analyse causes et actions suite incident/FSCA et reconstituons la chronologie : date de connaissance, décision, date d'action. Le délai a-t-il été tenu ?"
90,MDR,fabricant,GSPR général,,high,false,oui,3,Q-MDR-GG-8504 | Q-MDR-GG-8618 | Q-MDR-GG-4573,"Choisissons un danger réel concerné par exigences générales de sécurité et performance démontrées et reliées aux risques : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu. || Montrez-moi comment exigences générales de sécurité et performance démontrées et reliées aux risques relie votre analyse de risques à une décision concrète sur le produit. || Choisissons un danger réel concerné par exigences générales de sécurité et performance démontrées et reliées aux risques : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu."
91,MDR,fabricant,GSPR conception/fabrication,,mid,false,non,2,Q-MDR-GCF-4569 | Q-MDR-GCF-8622,"Ouvrons le dernier dossier de conception concerné par exigences de conception et fabrication démontrées par preuves techniques : montrez-moi la trace de bout en bout, entrées, revues, vérification, validation. || Prouvez-moi, sur un projet réel, que exigences de conception et fabrication démontrées par preuves techniques a été appliquée et vérifiée, pas seulement planifiée."
92,MDR,fabricant,GSPR information utilisateur,,mid,false,non,2,Q-MDR-GIU-4931 | Q-MDR-GIU-8260,"Montrez-moi, sur un cas réel récent, comment étiquetage, notice et information utilisateur conformes, lisibles et validés est appliquée en pratique et où en est la preuve. || Déroulez un cas concret concerné par étiquetage, notice et information utilisateur conformes, lisibles et validés : quelle décision, par qui, sur quelle preuve, avec quel contrôle d'efficacité ?"
93,MDR,fabricant,Documentation PMS,,high,false,oui,3,Q-MDR-DP-5220 | Q-MDR-DP-3205 | Q-MDR-DP-3502,"Choisissons un document soumis à documentation PMS structurée et reliée au dossier technique : montrez-moi sa version en vigueur, son approbation et le retrait des versions périmées. || Montrez-moi comment vous garantissez que documentation PMS structurée et reliée au dossier technique est respectée sur un enregistrement récent. || Choisissons un document soumis à documentation PMS structurée et reliée au dossier technique : montrez-moi sa version en vigueur, son approbation et le retrait des versions périmées."
94,MDR,fabricant,Évaluation conformité SMQ,,mid,false,non,2,Q-MDR-ECS-8162 | Q-MDR-ECS-8204,"Choisissons un document soumis à sMQ et documentation technique prêts pour audit ON : montrez-moi sa version en vigueur, son approbation et le retrait des versions périmées. || Montrez-moi comment vous garantissez que sMQ et documentation technique prêts pour audit ON est respectée sur un enregistrement récent."
95,MDR,assembleur,Obligations fabricant,Art. 10,low,false,non,3,Q-MDR-OF-8437 | Q-MDR-OF-8685 | Q-MDR-OF-4506,"L'article 10, paragraphe 9, liste treize aspects (a à m) que votre système de gestion de la qualité doit couvrir au minimum — de la stratégie de conformité réglementaire à la gestion des communications avec les autorités. Sortez votre matrice de correspondance : pour chaque aspect, quel processus du SMQ le porte, et montrez-moi sur les deux aspects les plus souvent orphelins — la stratégie de conformité réglementaire (a) et l'identification des exigences générales de sécurité et performances avec les options retenues (b) — la preuve documentée vivante, pas une ligne de matrice. || L'article 10(2) exige un système de gestion des risques « processus itératif continu tout au long du cycle de vie ». Prouvez-moi le mot « continu » : sortez l'historique de révision du dossier de risques de votre dispositif le plus ancien sur le marché. Combien de révisions depuis le marquage CE, déclenchées par quoi ? Si le dossier n'a pas bougé depuis la certification alors que vigilance, PMS et état de l'art ont produit des données, expliquez-moi en quoi votre processus est « continu ». || Simulons : je suis votre autorité compétente et je viens de vous notifier qu'un de vos dispositifs présente un risque. L'article 10(11) et (12) vous impose d'agir immédiatement. Déroulez votre procédure sur le dernier cas réel : mesures correctives engagées, mise en conformité, retrait ou rappel selon la gravité, information « immédiate » des distributeurs, importateurs et mandataire, et de l'organisme notifié si le certificat est concerné. Montrez-moi les délais réels sur ce cas, canal par canal."
96,MDR,fabricant,Responsabilité produit,Art. 10(12-15),high,false,oui,3,Q-MDR-RP-6887 | Q-MDR-RP-1538 | Q-MDR-RP-1835,"Choisissons un danger réel concerné par couverture responsabilité financière et conservation documentaire adaptée au risque, classe et type de dispositif : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu. || Montrez-moi comment couverture responsabilité financière et conservation documentaire adaptée au risque, classe et type de dispositif relie votre analyse de risques à une décision concrète sur le produit. || Choisissons un danger réel concerné par couverture responsabilité financière et conservation documentaire adaptée au risque, classe et type de dispositif : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu."
97,MDR,assembleur,SMQ fabricant MDR,Art. 10(9),high,false,oui,3,Q-MDR-SFM-1774 | Q-MDR-SFM-1417 | Q-MDR-SFM-2992,"Prenez la dernière action corrective liée à système de management qualité couvrant conformité réglementaire, responsabilité direction, ressources, réalisation produit, PMS, vigilance et CAPA : déroulez-la du déclencheur jusqu'à la preuve d'efficacité vérifiée à distance. || Montrez-moi comment vous prouvez que l'action prise sur système de management qualité couvrant conformité réglementaire, responsabilité direction, ressources, réalisation produit, PMS, vigilance et CAPA a réellement empêché le problème de revenir. || Prenez la dernière action corrective liée à système de management qualité couvrant conformité réglementaire, responsabilité direction, ressources, réalisation produit, PMS, vigilance et CAPA : déroulez-la du déclencheur jusqu'à la preuve d'efficacité vérifiée à distance."
98,MDR,importateur,Importateur,Art. 13,mid,false,non,2,Q-MDR-I-5980 | Q-MDR-I-6277,"Montrez-moi, sur un cas réel récent, comment vérifications importateur avant mise sur le marché et traçabilité des réclamations/non-conformités est appliquée en pratique et où en est la preuve. || Déroulez un cas concret concerné par vérifications importateur avant mise sur le marché et traçabilité des réclamations/non-conformités : quelle décision, par qui, sur quelle preuve, avec quel contrôle d'efficacité ?"
99,MDR,distributeur,Distributeur,Art. 14,mid,false,non,2,Q-MDR-D-7081 | Q-MDR-D-5506,"Montrez-moi, sur un cas réel récent, comment vérifications distributeur, stockage/transport, réclamations et coopération autorités est appliquée en pratique et où en est la preuve. || Déroulez un cas concret concerné par vérifications distributeur, stockage/transport, réclamations et coopération autorités : quelle décision, par qui, sur quelle preuve, avec quel contrôle d'efficacité ?"
100,MDR,fabricant,PRRC,Art. 15,low,true,non,2,Q-MDR-P-8665 | Q-MDR-P-9760,"Votre personne chargée de veiller au respect de la réglementation (PCVRR/PRRC, article 15) : montrez-moi d'abord la preuve de sa qualification au sens du 15(1) — diplôme et/ou expérience. Ensuite, prenons ses responsabilités du 15(3) une par une sur des cas datés : la vérification de conformité des dispositifs AVANT libération selon le SMQ — montrez-moi sa trace sur trois lots récents —, la tenue à jour de la documentation technique, le respect des obligations PMS, et le respect des obligations de déclaration. Enfin : comment garantissez-vous qu'elle ne subit aucun désavantage lié à l'exercice de ses fonctions ? || Déroulez un cas concret concerné par personne chargée de veiller au respect de la réglementation qualifiée et impliquée dans les libérations et obligations post-market : quelle décision, par qui, sur quelle preuve, avec quel contrôle d'efficacité ?"
101,MDR,fabricant,Relabelling/repackaging,Art. 16,mid,false,non,2,Q-MDR-RR-2567 | Q-MDR-RR-6201,"Montrez-moi, sur un cas réel récent, comment obligations en cas de reconditionnement, relabelling ou modification susceptible d’affecter la conformité est appliquée en pratique et où en est la preuve. || Déroulez un cas concret concerné par obligations en cas de reconditionnement, relabelling ou modification susceptible d’affecter la conformité : quelle décision, par qui, sur quelle preuve, avec quel contrôle d'efficacité ?"
102,MDR,fabricant,Déclaration UE de conformité,Art. 19,mid,true,non,2,Q-MDR-DUC-1803 | Q-MDR-DUC-5437,"Choisissons un document soumis à déclaration UE de conformité établie, tenue à jour et reliée au dossier technique : montrez-moi sa version en vigueur, son approbation et le retrait des versions périmées. || Montrez-moi comment vous garantissez que déclaration UE de conformité établie, tenue à jour et reliée au dossier technique est respectée sur un enregistrement récent."
103,MDR,fabricant,Marquage CE,Art. 20,mid,true,non,2,Q-MDR-MC-8407 | Q-MDR-MC-0018,"Montrez-moi, sur un cas réel récent, comment marquage CE apposé uniquement après conformité démontrée est appliquée en pratique et où en est la preuve. || Déroulez un cas concret concerné par marquage CE apposé uniquement après conformité démontrée : quelle décision, par qui, sur quelle preuve, avec quel contrôle d'efficacité ?"
104,MDR,fabricant,Traçabilité chaîne d’approvisionnement,Art. 25,mid,false,non,2,Q-MDR-TCDA-6992 | Q-MDR-TCDA-9374,"Montrez-moi, sur un cas réel récent, comment identification des opérateurs économiques amont/aval dans la chaîne d’approvisionnement est appliquée en pratique et où en est la preuve. || Déroulez un cas concret concerné par identification des opérateurs économiques amont/aval dans la chaîne d’approvisionnement : quelle décision, par qui, sur quelle preuve, avec quel contrôle d'efficacité ?"
105,MDR,assembleur,UDI,Art. 27,mid,true,non,2,Q-MDR-U-2683 | Q-MDR-U-8636,"Montrez-moi, sur un cas réel récent, comment système UDI attribué, apposé et maintenu dans les données réglementaires est appliquée en pratique et où en est la preuve. || Déroulez un cas concret concerné par système UDI attribué, apposé et maintenu dans les données réglementaires : quelle décision, par qui, sur quelle preuve, avec quel contrôle d'efficacité ?"
106,MDR,fabricant,SSCP,Art. 32,low,false,non,3,Q-MDR-S-3363 | Q-MDR-S-5062 | Q-MDR-S-1304,"Pour un dispositif implantable ou de classe III, montrez que le résumé de sécurité et de performances est compréhensible, validé par l'organisme notifié et publié dans Eudamed. || Qui vérifie et met à jour le résumé de sécurité et de performances ? Montrez la dernière version et son approbation. || Prouvez-moi, sur un exemple de votre choix des trois derniers mois, que résumé des caractéristiques de sécurité et performances cliniques établi pour dispositifs applicables est réellement mise en œuvre et pas seulement documentée."
